Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
140,14,Callum Mills,1,Sydney,11,11,11,11,22,22,4,4,0,0,0,0,0,0,0,0,0,0,67,67
141,34,Hugo Garcia,1,St Kilda,10,10,14,14,24,24,1,1,0,0,1,1,1,0,0,0,1,1,67,67
142,41,Brody Mihocek,1,Collingwood,9,9,1,1,10,10,7,7,0,0,1,1,0,0,2,2,0,12,66,66
143,10,Tyler Brockman,1,West Coast,8,8,2,2,10,10,4,4,0,0,3,3,1,0,2,2,1,13,66,66
144,9,Ben Ainsworth,1,Gold Coast,10,10,0,0,10,10,6,6,0,0,1,1,1,0,2,2,1,13,66,66
145,47,Anthony Caminiti,1,St Kilda,7,7,7,7,14,14,9,9,0,0,1,1,0,0,0,0,0,0,66,66
146,8,Lachie Fogarty,1,Carlton,10,10,6,6,16,16,3,3,0,0,3,3,1,0,0,0,2,2,66,66
147,43,Lewis Melican,1,Sydney,11,11,6,6,17,17,8,8,0,0,0,0,0,1,0,0,0,0,66,66
148,15,Shai Bolton,1,Fremantle,10,10,5,5,15,15,4,4,0,0,3,3,0,2,1,1,1,7,65,65
149,24,Josh Battle,1,Hawthorn,11,11,7,7,18,18,4,4,0,0,3,3,0,2,0,0,0,0,65,65
150,40,Joel Jeffrey,1,Gold Coast,14,14,4,4,18,18,5,5,0,0,0,0,0,2,1,1,0,6,65,65
Totals,,,50,,467,9.3,337,6.7,804,16.1,213,4.3,42,0.8,156,3.1,47,31,30,0.6,27,207,3541,70.8
151,3,Harry Sheezel,1,North Melbourne,8,8,12,12,20,20,3,3,0,0,2,2,2,1,0,0,1,1,65,65
152,9,Ryley Sanders,1,Western Bulldogs,8,8,17,17,25,25,1,1,0,0,1,1,0,0,0,0,0,0,65,65
153,34,Ben King,1,Gold Coast,7,7,2,2,9,9,6,6,0,0,0,0,1,0,3,3,2,20,64,64
154,38,Dante Visentini,1,Port Adelaide,7,7,5,5,12,12,4,4,14,14,2,2,2,4,1,1,3,9,64,64
155,14,Jake Soligo,1,Adelaide,7,7,8,8,15,15,4,4,0,0,5,5,1,2,0,0,0,0,64,64
156,20,Ed Richards,1,Western Bulldogs,9,9,7,7,16,16,3,3,0,0,3,3,1,0,0,0,1,1,64,64
157,44,Matthew Johnson,1,Fremantle,7,7,11,11,18,18,5,5,0,0,2,2,1,1,0,0,0,0,64,64
158,35,Josh Treacy,1,Fremantle,7,7,1,1,8,8,4,4,0,0,2,2,1,0,3,3,1,19,63,63
159,22,Ben Long,1,Gold Coast,8,8,2,2,10,10,5,5,0,0,2,2,2,1,2,2,1,13,63,63
160,34,Jack Williams,1,West Coast,7,7,4,4,11,11,5,5,0,0,2,2,2,0,1,1,3,9,63,63
161,5,Tobie Travaglia,1,St Kilda,7,7,5,5,12,12,5,5,0,0,4,4,1,0,0,0,0,0,63,63
162,35,Nathan Broad,1,Richmond,12,12,2,2,14,14,7,7,0,0,1,1,1,1,0,0,0,0,63,63
163,36,Cooper Lord,1,Carlton,9,9,7,7,16,16,3,3,0,0,3,3,1,0,0,0,0,0,63,63
164,11,Hunter Clark,1,St Kilda,7,7,9,9,16,16,3,3,0,0,5,5,0,2,0,0,1,1,63,63
165,36,Brennan Cox,1,Fremantle,9,9,3,3,12,12,7,7,0,0,2,2,0,0,0,0,0,0,62,62
166,1,Jack Higgins,1,St Kilda,5,5,10,10,15,15,5,5,0,0,1,1,0,0,1,1,2,8,62,62
167,3,Caleb Serong,1,Fremantle,9,9,9,9,18,18,2,2,0,0,3,3,2,1,0,0,0,0,62,62
168,31,Bayley Fritsch,1,Melbourne,6,6,3,3,9,9,6,6,0,0,2,2,1,1,2,2,1,13,61,61
169,50,Mani Liddy,1,Port Adelaide,6,6,5,5,11,11,4,4,0,0,5,5,0,0,0,0,1,1,61,61
170,12,Harry Perryman,1,Collingwood,8,8,5,5,13,13,5,5,0,0,3,3,0,0,0,0,0,0,61,61
171,32,Mason Wood,1,St Kilda,10,10,5,5,15,15,4,4,0,0,2,2,2,1,0,0,2,2,61,61
172,16,Max Michalanney,1,Adelaide,5,5,5,5,10,10,4,4,0,0,1,1,1,0,3,3,0,18,60,60
173,29,Jasper Alger,1,Richmond,7,7,4,4,11,11,4,4,0,0,2,2,2,1,2,2,0,12,60,60
174,20,Xavier Lindsay,1,Melbourne,7,7,5,5,12,12,7,7,0,0,2,2,0,0,0,0,0,0,60,60
175,39,Hugh Jackson,1,Port Adelaide,9,9,8,8,17,17,3,3,0,0,2,2,0,0,0,0,0,0,60,60
176,34,Lachie Jones,1,Port Adelaide,7,7,5,5,12,12,6,6,0,0,1,1,0,0,1,1,0,6,59,59
177,5,Adam Cerra,1,Carlton,7,7,10,10,17,17,0,0,0,0,5,5,1,1,0,0,0,0,59,59
178,20,Ethan Read,1,Gold Coast,7,7,0,0,7,7,6,6,3,3,2,2,0,0,1,1,2,8,58,58
179,32,Will Hoskin-Elliott,1,Collingwood,10,10,1,1,11,11,4,4,0,0,2,2,0,0,1,1,0,6,58,58
180,34,Nick Watson,1,Hawthorn,9,9,4,4,13,13,3,3,0,0,0,0,1,2,3,3,1,19,58,58
181,9,Patrick Cripps,1,Carlton,7,7,10,10,17,17,0,0,0,0,4,4,4,3,1,1,0,6,58,58
182,32,Darcy Fogarty,1,Adelaide,6,6,2,2,8,8,3,3,0,0,5,5,1,1,1,1,2,8,57,57
183,14,Rhylee West,1,Western Bulldogs,4,4,7,7,11,11,3,3,0,0,4,4,0,0,1,1,0,6,57,57
184,42,Harry Edwards,1,West Coast,6,6,6,6,12,12,6,6,0,0,2,2,1,0,0,0,0,0,57,57
185,10,Daniel Turner,1,Melbourne,11,11,1,1,12,12,6,6,0,0,1,1,0,0,0,0,0,0,57,57
186,16,Murphy Reid,1,Fremantle,9,9,6,6,15,15,2,2,0,0,1,1,0,0,1,1,2,8,57,57
187,21,Tom Liberatore,1,Western Bulldogs,10,10,11,11,21,21,2,2,0,0,2,2,0,3,0,0,0,0,57,57
188,7,Rhyan Mansell,1,Richmond,6,6,1,1,7,7,1,1,0,0,6,6,3,0,1,1,0,6,56,56
189,10,Sam Darcy,1,Western Bulldogs,6,6,4,4,10,10,2,2,8,8,0,0,1,1,3,3,0,18,56,56
190,41,Jacob Konstanty,1,North Melbourne,9,9,2,2,11,11,2,2,0,0,3,3,2,1,1,1,2,8,56,56
191,14,Orazio Fantasia,1,Carlton,7,7,6,6,13,13,4,4,0,0,0,0,0,1,2,2,2,14,56,56
192,10,Mitch Owens,1,St Kilda,7,7,7,7,14,14,3,3,0,0,1,1,1,0,1,1,1,7,56,56
193,41,Jordon Butts,1,Adelaide,9,9,1,1,10,10,7,7,0,0,1,1,4,1,0,0,0,0,55,55
194,7,Harry Cunningham,1,Sydney,7,7,9,9,16,16,5,5,0,0,0,0,0,0,0,0,1,1,55,55
195,5,Jamie Elliott,1,Collingwood,8,8,0,0,8,8,4,4,0,0,4,4,2,2,1,1,0,6,54,54
196,23,Jacob Weitering,1,Carlton,9,9,2,2,11,11,6,6,0,0,1,1,1,0,0,0,0,0,54,54
197,37,Kade Chandler,1,Melbourne,6,6,5,5,11,11,2,2,0,0,5,5,0,0,0,0,0,0,54,54
198,14,Lachie Weller,1,Gold Coast,10,10,2,2,12,12,4,4,0,0,2,2,0,0,0,0,0,0,54,54
199,1,Nick Vlastuin,1,Richmond,12,12,3,3,15,15,3,3,0,0,2,2,1,2,0,0,0,0,54,54
200,2,Ben Keays,1,Adelaide,11,11,4,4,15,15,4,4,0,0,0,0,0,0,0,0,1,1,54,54
Totals,,,50,,391,7.8,263,5.3,654,13.1,197,3.9,25,0.5,113,2.3,47,34,37,0.7,33,255,2967,59.3
201,4,Jarman Impey,1,Hawthorn,9,9,8,8,17,17,3,3,0,0,3,3,1,4,0,0,1,1,54,54
202,6,Zachary Williams,1,Carlton,9,9,9,9,18,18,1,1,0,0,0,0,0,0,1,1,0,6,54,54
203,34,Corey Wagner,1,Fremantle,5,5,4,4,9,9,2,2,0,0,7,7,2,2,0,0,0,0,53,53
204,31,Luke Trainor,1,Richmond,5,5,4,4,9,9,2,2,0,0,4,4,2,0,1,1,0,6,53,53
205,15,Blake Hardwick,1,Hawthorn,8,8,2,2,10,10,3,3,0,0,4,4,0,0,0,0,0,0,53,53
206,1,Harry Morrison,1,Hawthorn,8,8,4,4,12,12,4,4,0,0,3,3,0,1,0,0,0,0,53,53
207,12,Jy Simpkin,1,North Melbourne,8,8,8,8,16,16,2,2,0,0,2,2,1,1,0,0,1,1,53,53
208,9,Harley Reid,1,West Coast,5,5,12,12,17,17,2,2,0,0,4,4,1,3,0,0,0,0,53,53
209,19,Harvey Langford,1,Melbourne,8,8,11,11,19,19,2,2,0,0,1,1,0,1,0,0,0,0,53,53
210,1,Liam Ryan,1,West Coast,7,7,5,5,12,12,3,3,0,0,1,1,1,0,1,1,1,7,52,52
211,8,Elijah Hewett,1,West Coast,7,7,9,9,16,16,4,4,0,0,1,1,0,1,0,0,0,0,52,52
212,14,Liam Stocker,1,St Kilda,7,7,3,3,10,10,7,7,0,0,2,2,1,2,0,0,0,0,51,51
213,3,Jesse Motlop,1,Carlton,4,4,6,6,10,10,0,0,0,0,7,7,1,3,1,1,1,7,51,51
214,21,Oscar McDonald,1,Fremantle,9,9,4,4,13,13,6,6,0,0,0,0,1,1,0,0,0,0,51,51
215,25,Paul Curtis,1,North Melbourne,8,8,3,3,11,11,3,3,0,0,3,3,2,3,1,1,0,6,50,50
216,41,Bailey Banfield,1,Fremantle,8,8,4,4,12,12,3,3,0,0,2,2,1,0,0,0,0,0,50,50
217,11,Tim Kelly,1,West Coast,6,6,6,6,12,12,3,3,0,0,1,1,0,0,1,1,1,7,50,50
218,27,Esava Ratugolea,1,Port Adelaide,10,10,3,3,13,13,6,6,0,0,0,0,2,2,0,0,0,0,50,50
219,24,Tom Powell,1,North Melbourne,5,5,9,9,14,14,1,1,0,0,5,5,0,2,0,0,0,0,50,50
220,28,Alex Neal-Bullen,1,Adelaide,8,8,8,8,16,16,4,4,0,0,1,1,0,2,0,0,0,0,50,50
