"","venue_name","match_id","match_home_team","match_away_team","match_date","match_local_time","match_attendance","match_round","match_home_team_goals","match_home_team_behinds","match_home_team_score","match_away_team_goals","match_away_team_behinds","match_away_team_score","match_margin","match_winner","match_weather_temp_c","match_weather_type","player_id","player_first_name","player_last_name","player_height_cm","player_weight_kg","player_is_retired","player_team","guernsey_number","kicks","marks","handballs","disposals","effective_disposals","disposal_efficiency_percentage","goals","behinds","hitouts","tackles","rebounds","inside_fifties","clearances","clangers","free_kicks_for","free_kicks_against","brownlow_votes","contested_possessions","uncontested_possessions","contested_marks","marks_inside_fifty","one_percenters","bounces","goal_assists","time_on_ground_percentage","afl_fantasy_score","supercoach_score","centre_clearances","stoppage_clearances","score_involvements","metres_gained","turnovers","intercepts","tackles_inside_fifty","contest_def_losses","contest_def_one_on_ones","contest_off_one_on_ones","contest_off_wins","def_half_pressure_acts","effective_kicks","f50_ground_ball_gets","ground_ball_gets","hitouts_to_advantage","hitout_win_percentage","intercept_marks","marks_on_lead","pressure_acts","rating_points","ruck_contests","score_launches","shots_at_goal","spoils","subbed","player_position","date"
"31","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12846,"Finn","Maginness",189,0,NA,"Hawthorn",20,7,2,6,13,5,39,1,2,0,2,0,3,0,1,0,0,0,4,9,0,1,0,0,0,72,55,NA,0,0,4,153,5,1,0,0,0,3,1,2,1,1,4,0,0,0,0,8,0.2,0,0,3,0,NA,"INT",2025-03-07
"32","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12847,"Joel","Amartey",195,0,NA,"Sydney",36,7,4,4,11,8,73,3,1,1,2,0,0,0,0,2,0,0,5,6,0,1,1,0,0,82,71,NA,0,0,5,229,1,2,1,0,0,2,0,4,5,0,3,0,16.7,1,1,8,11.8,6,0,4,1,NA,"FF",2025-03-07
"33","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12853,"James","Jordon",187,0,NA,"Sydney",17,10,0,10,20,14,70,0,0,0,4,1,2,7,5,1,3,0,11,8,0,0,0,0,0,82,58,NA,3,4,2,227,4,2,0,0,1,0,0,10,6,0,5,0,0,0,0,21,6.4,0,0,0,0,NA,"FPR",2025-03-07
"34","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12854,"Lloyd","Meek",203,0,NA,"Hawthorn",17,7,4,7,14,10,71,2,0,30,5,0,3,6,1,1,0,0,10,4,1,1,0,0,0,83,110,NA,3,3,3,297,3,2,1,0,0,3,0,8,5,1,7,9,35.7,1,0,20,17.7,84,2,2,0,NA,"RK",2025-03-07
"35","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12865,"Braeden","Campbell",181,0,NA,"Sydney",16,6,2,2,8,7,88,0,0,0,4,1,4,0,0,0,0,0,2,5,0,0,1,0,1,80,44,NA,0,0,3,225,2,0,0,0,0,2,0,9,5,0,2,0,0,0,0,17,9.6,0,0,0,0,NA,"HFFL",2025-03-07
"36","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12913,"Jai","Newcombe",187,0,NA,"Hawthorn",3,9,1,10,19,15,79,1,0,0,7,1,1,9,6,1,3,0,10,8,0,1,2,0,1,89,76,NA,5,4,8,218,5,1,0,0,0,0,0,10,5,0,3,0,0,0,0,25,12.5,0,1,2,1,NA,"C",2025-03-07
"37","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12928,"Jack","Ginnivan",185,0,NA,"Hawthorn",33,9,1,7,16,9,56,0,1,0,3,0,3,2,4,1,1,0,6,10,0,0,2,0,1,75,55,NA,0,2,4,235,3,2,2,0,0,0,0,3,4,2,6,0,0,0,0,17,5.7,0,2,3,1,NA,"FPL",2025-03-07
"38","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12951,"Angus","Sheldrick",178,0,NA,"Sydney",12,6,1,3,9,6,67,0,0,0,2,0,4,1,3,0,1,0,3,6,0,0,0,0,0,48,32,NA,0,1,1,224,4,1,1,0,0,0,0,4,4,0,3,0,0,0,0,9,2.5,0,0,0,0,NA,"INT",2025-03-07
"39","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12953,"Connor","Macdonald",185,0,NA,"Hawthorn",31,5,2,3,8,7,88,1,0,0,2,1,3,0,1,0,1,0,1,7,0,1,0,0,0,70,38,NA,0,0,2,220,2,1,0,0,0,1,0,3,4,0,1,0,0,1,0,13,8.6,0,1,1,0,NA,"WR",2025-03-07
"40","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12993,"Matt","Roberts",184,0,NA,"Sydney",34,20,9,6,26,20,77,0,0,0,2,4,4,0,2,0,1,0,7,19,0,0,2,0,0,95,104,NA,0,0,6,447,6,8,0,1,2,0,0,10,14,1,7,0,0,0,0,12,10,0,1,0,2,NA,"HBFL",2025-03-07
